"date","par.mean","par.min","par.max"
2003-05-19 12:00:00,41.8960824518194,0.616,60.244
2003-05-20 12:00:00,53.9021884468046,0.664,60.242
2003-05-21 12:00:00,56.6147640135103,9.718,59.806
2003-05-22 12:00:00,48.3876076285893,0.582,60.692
2003-05-23 12:00:00,23.9644428954424,1.076,59.636
2003-05-24 12:00:00,53.3663364721921,0.594,61.018
2003-05-25 12:00:00,46.0131965460566,0.622,60.93
2003-05-26 12:00:00,52.7581890742502,0.564,60.656
2003-05-27 12:00:00,52.5266207118596,0.574,60.044
2003-05-28 12:00:00,48.3832943185904,2.244,60.386
2003-05-29 12:00:00,45.5751840932649,0.566,60.29
2003-05-30 12:00:00,58.1432459650303,27.194,60.608
2003-05-31 12:00:00,58.4604154781005,0.57,61.092
2003-06-01 12:00:00,54.2105275822186,1.694,60.994
2003-06-02 12:00:00,52.950965216733,0.584,61.58
2003-06-03 12:00:00,56.0476949901056,5.204,60.45
2003-06-04 12:00:00,44.2814071604185,2.414,61.062
2003-06-05 12:00:00,44.6484423096686,0.588,60.43
2003-06-06 12:00:00,37.0471706915888,3.166,60.304
2003-06-07 12:00:00,44.2469171083496,0.576,60.964
2003-06-08 12:00:00,56.7630662506184,9.086,61.172
2003-06-09 12:00:00,45.0628251288633,0.584,62.136
2003-06-10 12:00:00,49.6594997474313,0.674,60.698
2003-06-11 12:00:00,55.3439508441131,2.394,61.544
2003-06-12 12:00:00,54.7314420149411,0.596,61.254
2003-06-13 12:00:00,56.3561074724438,3.946,60.896
2003-06-14 12:00:00,54.4714193739508,0.57,61.564
2003-06-15 12:00:00,49.2974952454382,14.35,61.098
2003-06-16 12:00:00,54.8182459733621,0.582,62.05
2003-06-17 12:00:00,53.3611474453754,1.42,61.27
2003-06-18 12:00:00,53.8806028877981,0.598,62.102
2003-06-19 12:00:00,41.499666073708,0.582,61.486
2003-06-20 12:00:00,38.7447690580965,0.584,61.09
2003-06-21 12:00:00,35.2206584707888,0.578,61.456
2003-06-22 12:00:00,45.232053932461,3.138,61.202
2003-06-23 12:00:00,44.3022167169985,0.586,62.054
2003-06-24 12:00:00,54.5858517354623,6.092,60.692
2003-06-25 12:00:00,53.95656787495,0.616,62.242
2003-06-26 12:00:00,52.2176338593424,6.02,61.22
2003-06-27 12:00:00,57.0815557477502,2.206,61.746
2003-06-28 12:00:00,46.3492108525465,0.606,60.834
2003-06-29 12:00:00,34.5815114552806,1.272,60.056
2003-06-30 12:00:00,49.7608907893673,0.578,61.11
2003-07-01 12:00:00,47.1920755642787,8.958,61.118
2003-07-02 12:00:00,51.1025147900341,0.678,61.098
2003-07-03 12:00:00,53.4206061058315,3.6,61.206
2003-07-04 12:00:00,54.1504440294584,0.624,61.314
2003-07-05 12:00:00,54.4583006693773,1.74,61.006
2003-07-06 12:00:00,51.2817081495709,4.584,61.166
2003-07-07 12:00:00,51.7259901305929,4.164,61.264
2003-07-08 12:00:00,57.9553534796907,5.11,60.194
2003-07-09 12:00:00,56.8737342424462,14.694,61.04
2003-07-10 12:00:00,57.3307482422194,8.44,60.858
2003-07-11 12:00:00,55.7812708008096,0.75,61.504
2003-07-12 12:00:00,53.6349774444915,0.626,60.754
2003-07-13 12:00:00,49.5280542390167,0.66,60.702
2003-07-14 12:00:00,39.3037605874057,0.57,59.678
2003-07-15 12:00:00,38.8131013645401,1.238,59.586
2003-07-16 12:00:00,54.1477506025124,0.802,60.436
2003-07-17 12:00:00,47.3953447209542,5.034,60.37
2003-07-18 12:00:00,53.6525941293629,0.582,60.272
2003-07-19 12:00:00,55.1991922339712,5.884,60.298
2003-07-20 12:00:00,47.4317424000269,0.576,60.282
2003-07-21 12:00:00,44.4774891630832,0.586,59.976
2003-07-22 12:00:00,54.1575430276011,1.04,60.156
2003-07-23 12:00:00,53.1428120232151,1.338,60.09
2003-07-24 12:00:00,38.7645014658458,2.948,58.346
2003-07-25 12:00:00,46.3457340421906,0.566,59.83
2006-12-19 12:00:00,27.9761172517338,0.164,51.908
2006-12-20 12:00:00,20.7552394328282,0.158,51.22
2006-12-21 12:00:00,28.9686944980519,0.896,32.002
2006-12-22 12:00:00,28.5800088919548,0.16,53.304
2006-12-23 12:00:00,15.9461920608889,0.574,53.708
2006-12-24 12:00:00,35.8332127698946,0.192,53.404
2006-12-25 12:00:00,25.1221140711273,0.15,53.202
2006-12-26 12:00:00,34.3048755440611,0.16,53.278
2006-12-27 12:00:00,26.485782166307,0.422,52.72
2006-12-28 12:00:00,29.7907246562093,0.29,51.97
2006-12-29 12:00:00,30.1826182714512,0.256,51.756
2006-12-30 12:00:00,23.1137178150165,0.56,48.39
2006-12-31 12:00:00,35.9755809380364,0.402,51.278
2007-01-01 12:00:00,41.4965028073939,5.052,45.918
2007-01-02 12:00:00,33.6486750237593,0.21,45.666
2007-01-03 12:00:00,29.2790940384283,0.172,44.686
2007-01-04 12:00:00,29.3138146413254,0.156,44.374
2007-01-05 12:00:00,18.9403197021017,0.162,41.7
2007-01-06 12:00:00,39.1622910707302,1.456,44.414
2007-01-07 12:00:00,37.6186263034688,0.224,44.256
2007-01-08 12:00:00,39.4463584683827,12.85,44.012
2007-01-09 12:00:00,33.9556124233219,0.37,43.654
2007-01-10 12:00:00,22.0676894169102,3.348,32.646
2007-01-11 12:00:00,30.6542400336417,0.21,42.976
2007-01-12 12:00:00,35.1286782133172,0.324,42.318
2007-01-13 12:00:00,32.7467781422144,0.964,42.456
2007-01-15 12:00:00,30.4489378763414,0.782,41.474
2007-01-16 12:00:00,31.5840388535917,0.252,41.584
2007-01-17 12:00:00,35.1107836810229,0.266,41.338
2007-01-18 12:00:00,34.7731309588396,0.24,41.014
2007-01-19 12:00:00,32.6528627150794,0.49,40.862
2007-01-20 12:00:00,30.2235328152858,0.938,40.684
2007-01-21 12:00:00,26.8524457326513,0.214,39.56
2007-01-22 12:00:00,29.8410806951447,0.214,40.174
2007-01-23 12:00:00,22.3149990160775,4.274,36.586
2007-01-24 12:00:00,23.7036503332422,0.312,39.756
2007-01-25 12:00:00,21.7454448449771,0.188,38.886
2007-01-26 12:00:00,27.4152701168277,0.22,36.266
2007-01-27 12:00:00,27.0031231287079,0.204,36.228
2007-01-28 12:00:00,17.3288868659504,0.23,36.254
2007-01-29 12:00:00,20.3765959910688,0.456,37.67
2007-01-30 12:00:00,21.492366786141,0.262,37.412
2007-01-31 12:00:00,31.3176975670471,1.028,37.894
2007-02-01 12:00:00,31.4218685395009,0.2,37.658
2007-02-02 12:00:00,28.0184548796595,1.688,36.872
2007-02-03 12:00:00,23.5866498025511,0.214,37.466
2007-02-04 12:00:00,23.3434344851367,0.284,37.738
2007-02-05 12:00:00,15.8317216067298,0.26,36.352
2007-02-06 12:00:00,30.7011577259083,0.26,36.37
2007-02-07 12:00:00,30.6661632417931,0.872,39.318
2007-02-08 12:00:00,32.6953753152699,0.588,39.078
2007-02-09 12:00:00,26.5982325802396,0.232,39.612
2007-02-10 12:00:00,25.4084288352566,0.224,39.77
2007-02-11 12:00:00,29.8805229269442,1.272,40.046
2007-02-12 12:00:00,22.0287824478039,0.188,37.74
2007-02-13 12:00:00,21.0760297514125,0.24,40.104
2007-02-14 12:00:00,29.2961641437077,0.352,41.066
2007-02-15 12:00:00,26.4763016497985,0.24,40.776
2007-02-16 12:00:00,22.7261693479888,0.794,41.042
2007-02-17 12:00:00,25.2197829274657,0.168,42.08
2007-02-18 12:00:00,23.4930732339162,0.2,42.258
2007-02-19 12:00:00,24.2925409465176,0.206,42.532
2007-02-20 12:00:00,23.6254686587511,0.226,42.83
2007-02-21 12:00:00,26.4063526215976,0.288,43.086
2007-02-22 12:00:00,38.4272058180532,6.026,43.27
2007-02-23 12:00:00,23.9937220542536,0.792,33.344
2007-02-24 12:00:00,25.5628277607532,0.22,43.126
2007-02-25 12:00:00,29.5767639692525,0.738,44.212
2007-02-26 12:00:00,26.0152093799264,0.174,40.652
2007-02-27 12:00:00,29.4185861826806,0.44,44.25
2007-02-28 12:00:00,24.8529829691679,0.166,44.502
2007-03-01 12:00:00,23.7278840980777,1.152,40.206
2007-03-02 12:00:00,19.4086319516277,0.298,45.554
2007-03-03 12:00:00,21.021662367167,0.166,44.9
2007-03-04 12:00:00,29.307808054092,0.326,46.116
2007-03-05 12:00:00,28.2085274026047,0.144,46.416
2007-03-06 12:00:00,32.8788155662869,0.164,46.776
2007-03-07 12:00:00,20.7174212073425,0.17,46.506
2007-03-08 12:00:00,31.4809962825279,0.214,47.002
2007-03-09 12:00:00,25.0645260417981,0.234,47.214
2007-03-10 12:00:00,22.6191145214229,0.152,31.656
2007-03-11 12:00:00,25.4692854343621,0.696,48.132
2007-03-12 12:00:00,19.1429494478863,0.142,48.126
2007-03-13 12:00:00,43.2713044931877,1.498,48.568
2007-03-14 12:00:00,24.4993765473135,2.678,33.992
2007-03-15 12:00:00,34.5464922276979,0.162,49.146
2007-03-16 12:00:00,23.706429158344,0.202,49.466
2007-03-17 12:00:00,21.6200131229258,3.01,31.654
2007-03-18 12:00:00,31.0752900266164,0.708,50.032
2007-03-19 12:00:00,29.3454370488162,0.156,49.954
2007-03-20 12:00:00,30.1837804223682,0.696,49.546
2007-03-21 12:00:00,27.3958799107894,0.41,50.546
2007-03-22 12:00:00,26.4796362275134,6.686,32.16
2007-03-23 12:00:00,30.8588051540626,0.304,50.958
2007-03-24 12:00:00,33.8984584357015,0.278,51.206
2007-03-25 12:00:00,48.1769380935957,13.216,51.802
